,Time Stamp,Window,Suration
99,2020-05-14 15:45:28.000283,HM3H - Capcity - Excel,29
100,2020-05-14 15:45:57.022228,Meet - Capacity Overview Review session - Google Chrome,23
101,2020-05-14 15:46:20.037766,,5
102,2020-05-14 15:46:25.045115,HM3H - Capcity - Excel,70
103,2020-05-14 15:47:35.093731,,1
104,2020-05-14 15:47:36.099489,Meet - Capacity Overview Review session - Google Chrome,71
105,2020-05-14 15:48:47.143461,,1
106,2020-05-14 15:48:48.149606,HM3H - Capcity - Excel,14
107,2020-05-14 15:49:02.164727,Meet - Capacity Overview Review session - Google Chrome,15
108,2020-05-14 15:49:17.179280,YouTube - Google Chrome,1
109,2020-05-14 15:49:18.185575,Meet - Capacity Overview Review session - Google Chrome,585
110,2020-05-14 15:59:03.508025,"The Simple, and Simplistic, Messaging of Modi’s Lectures Is a Big Hit With His Audience - Google Chrome",2
111,2020-05-14 15:59:05.513567,New Tab - Google Chrome,13
112,2020-05-14 15:59:18.538332,Introduction to Big Data - Home | Coursera - Google Chrome,8
113,2020-05-14 15:59:26.552396,Coursera | Online Courses & Credentials From Top Educators. Join for Free | Coursera - Google Chrome,1
114,2020-05-14 15:59:27.562860,Coursera | Online Courses & Credentials From Top Educators. Join for Free - Google Chrome,133
115,2020-05-14 16:01:40.645334,Math and Logic Online Courses | Coursera - Google Chrome,14
116,2020-05-14 16:01:54.659546,Untitled - Google Chrome,2
117,2020-05-14 16:01:56.668500,Math and Logic Online Courses | Coursera - Google Chrome,3
118,2020-05-14 16:01:59.674528,Game Theory | Coursera - Google Chrome,26
119,2020-05-14 16:02:25.711008,Math and Logic Online Courses | Coursera - Google Chrome,20
120,2020-05-14 16:02:45.730038,Game Theory | Coursera - Google Chrome,2
121,2020-05-14 16:02:47.737705,Bayesian Statistics | Coursera - Google Chrome,44
122,2020-05-14 16:03:31.770143,Game Theory | Coursera - Google Chrome,31
123,2020-05-14 16:04:02.810572,New Tab - Google Chrome,10
124,2020-05-14 16:04:12.822613,theory for machine learning - Google Search - Google Chrome,19
125,2020-05-14 16:04:31.837774,deep learning mathematics - Google Search - Google Chrome,5
126,2020-05-14 16:04:36.847301,Game Theory | Coursera - Google Chrome,6
127,2020-05-14 16:04:42.861105,Deep Learning Mathematics Courses | Coursera - Google Chrome,21
128,2020-05-14 16:05:03.875467,Introduction to Graph Theory | Coursera - Google Chrome,6
129,2020-05-14 16:05:09.888523,Meet - Capacity Overview Review session - Google Chrome,6
130,2020-05-14 16:05:15.900675,Introduction to Graph Theory | Coursera - Google Chrome,52
131,2020-05-14 16:06:07.930886,Graph Analytics Courses | Coursera - Google Chrome,19
132,2020-05-14 16:06:26.951745,Graphs Courses | Coursera - Google Chrome,36
133,2020-05-14 16:07:02.987076,Algorithms on Graphs | Coursera - Google Chrome,22
134,2020-05-14 16:07:25.013612,Probabilistic Graphical Models | Coursera - Google Chrome,23
135,2020-05-14 16:07:48.031704,"Graph Search, Shortest Paths, and Data Structures | Coursera - Google Chrome",4
136,2020-05-14 16:07:52.041620,Algorithms on Graphs | Coursera - Google Chrome,1
137,2020-05-14 16:07:53.047551,"Graph Search, Shortest Paths, and Data Structures | Coursera - Google Chrome",1
138,2020-05-14 16:07:54.054539,Graphs Courses | Coursera - Google Chrome,11
139,2020-05-14 16:08:05.065826,"Graph Search, Shortest Paths, and Data Structures | Coursera - Google Chrome",20
140,2020-05-14 16:08:25.085402,deep learning mathematics - Google Search - Google Chrome,9
141,2020-05-14 16:08:34.093966,Deep Learning Mathematics Courses | Coursera - Google Chrome,19
142,2020-05-14 16:08:53.109493,Tensorflow Gcp Courses | Coursera - Google Chrome,15
143,2020-05-14 16:09:08.125089,Machine Learning with TensorFlow on Google Cloud Platform | Coursera - Google Chrome,37
144,2020-05-14 16:09:45.149258,Tensorflow Gcp Courses | Coursera - Google Chrome,10
145,2020-05-14 16:09:55.161206,Math and Logic Online Courses | Coursera - Google Chrome,3
146,2020-05-14 16:09:58.168541,Tensorflow Gcp Courses | Coursera - Google Chrome,2
147,2020-05-14 16:10:00.176366,Machine Learning with TensorFlow on Google Cloud Platform | Coursera - Google Chrome,1
148,2020-05-14 16:10:01.198153,End-to-End Machine Learning with TensorFlow on GCP | Coursera - Google Chrome,9
149,2020-05-14 16:10:10.214373,Advanced Machine Learning with TensorFlow on Google Cloud Platform | Coursera - Google Chrome,31
150,2020-05-14 16:10:41.234090,End-to-End Machine Learning with TensorFlow on GCP | Coursera - Google Chrome,3
151,2020-05-14 16:10:44.240177,Machine Learning with TensorFlow on Google Cloud Platform | Coursera - Google Chrome,9
152,2020-05-14 16:10:53.251263,End-to-End Machine Learning with TensorFlow on GCP | Coursera - Google Chrome,17
153,2020-05-14 16:11:10.271020,Advanced Machine Learning with TensorFlow on Google Cloud Platform | Coursera - Google Chrome,6
154,2020-05-14 16:11:16.279421,Machine Learning with TensorFlow on Google Cloud Platform | Coursera - Google Chrome,4
155,2020-05-14 16:11:20.286888,Coursera | Online Courses From Top Universities. Join for Free - Google Chrome,1
156,2020-05-14 16:11:21.292037,How Google does Machine Learning | Coursera - Google Chrome,17
157,2020-05-14 16:11:38.311301,Coursera | Online Courses & Credentials From Top Educators. Join for Free | Coursera - Google Chrome,11
158,2020-05-14 16:11:49.327263,How Google does Machine Learning - Home | Coursera - Google Chrome,48
159,2020-05-14 16:12:37.357722,Meet - Capacity Overview Review session - Google Chrome,2
160,2020-05-14 16:12:39.366649,(2) WhatsApp - Google Chrome,10
161,2020-05-14 16:12:49.376382,Math and Logic Online Courses | Coursera - Google Chrome,7
162,2020-05-14 16:12:56.384862,(2) WhatsApp - Google Chrome,1
163,2020-05-14 16:12:57.391634,"The Simple, and Simplistic, Messaging of Modi’s Lectures Is a Big Hit With His Audience - Google Chrome",71
164,2020-05-14 16:14:08.441477,Meet - Capacity Overview Review session - Google Chrome,59
165,2020-05-14 16:15:07.476650,"The Simple, and Simplistic, Messaging of Modi’s Lectures Is a Big Hit With His Audience - Google Chrome",28
166,2020-05-14 16:15:35.511007,Meet - Capacity Overview Review session - Google Chrome,18
167,2020-05-14 16:15:53.526342,YouTube - Google Chrome,2
168,2020-05-14 16:15:55.532926,"The Simple, and Simplistic, Messaging of Modi’s Lectures Is a Big Hit With His Audience - Google Chrome",57
169,2020-05-14 16:16:52.566348,Meet - Capacity Overview Review session - Google Chrome,15
170,2020-05-14 16:17:07.579947,"The Simple, and Simplistic, Messaging of Modi’s Lectures Is a Big Hit With His Audience - Google Chrome",49
171,2020-05-14 16:17:56.610225,Math and Logic Online Courses | Coursera - Google Chrome,2
172,2020-05-14 16:17:58.639668,Meet - Capacity Overview Review session - Google Chrome,3
173,2020-05-14 16:18:01.648564,YouTube - Google Chrome,1
174,2020-05-14 16:18:02.653489,Meet - Capacity Overview Review session - Google Chrome,3
175,2020-05-14 16:18:05.667038,Math and Logic Online Courses | Coursera - Google Chrome,4
176,2020-05-14 16:18:09.689886,Tensorflow Gcp Courses | Coursera - Google Chrome,2
177,2020-05-14 16:18:11.699112,Math and Logic Online Courses | Coursera - Google Chrome,11
178,2020-05-14 16:18:22.718708,,10
179,2020-05-14 16:18:32.727415,Petrol Extraction For Rework - PowerPoint,3
180,2020-05-14 16:18:35.735641,TICA - PowerPoint,14
181,2020-05-14 16:18:49.748752,,1
182,2020-05-14 16:18:50.754147,TICA - PowerPoint,67
183,2020-05-14 16:19:57.799083,Math and Logic Online Courses | Coursera - Google Chrome,2
184,2020-05-14 16:19:59.808370,Meet - Capacity Overview Review session - Google Chrome,2
185,2020-05-14 16:20:01.816153,,7
186,2020-05-14 16:20:08.825388,Meet - Capacity Overview Review session - Google Chrome,42
187,2020-05-14 16:20:50.853463,,2
188,2020-05-14 16:20:52.865352,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,11
189,2020-05-14 16:21:03.879241,HM3H - Capcity - Excel,1
190,2020-05-14 16:21:04.885090,,2
191,2020-05-14 16:21:06.894572,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,20
192,2020-05-14 16:21:26.908062,HM3H - Capcity - Excel,21
193,2020-05-14 16:21:47.935302,Meet - Capacity Overview Review session - Google Chrome,1
194,2020-05-14 16:21:48.940393,HM3H - Capcity - Excel,4
195,2020-05-14 16:21:52.951702,,1
196,2020-05-14 16:21:53.957441,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,31
197,2020-05-14 16:22:24.982969,,14
198,2020-05-14 16:22:38.999923,TICA - PowerPoint,308
199,2020-05-14 16:27:47.163089,,3
200,2020-05-14 16:27:50.171726,Meet - Capacity Overview Review session - Google Chrome,26
201,2020-05-14 16:28:16.196994,,2
202,2020-05-14 16:28:18.205729,TICA - PowerPoint,11
203,2020-05-14 16:28:29.216614,,1
204,2020-05-14 16:28:30.222335,Meet - Capacity Overview Review session - Google Chrome,1
205,2020-05-14 16:28:31.230323,deep learning mathematics - Google Search - Google Chrome,5
206,2020-05-14 16:28:36.241499,review meaning - Google Search - Google Chrome,23
207,2020-05-14 16:28:59.257774,,1
208,2020-05-14 16:29:00.264063,TICA - PowerPoint,4
209,2020-05-14 16:29:04.274034,review meaning - Google Search - Google Chrome,16
210,2020-05-14 16:29:20.287490,"synonyms for contenr, index - Google Search - Google Chrome",1
211,2020-05-14 16:29:21.296488,(2) WhatsApp - Google Chrome,2
212,2020-05-14 16:29:23.307007,Meet - Capacity Overview Review session - Google Chrome,33
213,2020-05-14 16:29:56.330318,,2
214,2020-05-14 16:29:58.338592,ABZA Packahing Working June-July R7 - Excel,6
215,2020-05-14 16:30:04.348891,,2
216,2020-05-14 16:30:06.355883,HM3H - Capcity - Excel,44
217,2020-05-14 16:30:50.404414,Meet - Capacity Overview Review session - Google Chrome,63
218,2020-05-14 16:31:53.441354,"synonyms for contenr, index - Google Search - Google Chrome",12
219,2020-05-14 16:32:05.454978,"Index Synonyms, Index Antonyms | Merriam-Webster Thesaurus - Google Chrome",23
220,2020-05-14 16:32:28.503995,HM3H - Capcity - Excel,6
221,2020-05-14 16:32:34.513584,,1
222,2020-05-14 16:32:35.520046,TICA - PowerPoint,9
223,2020-05-14 16:32:44.636284,"Index Synonyms, Index Antonyms | Merriam-Webster Thesaurus - Google Chrome",2
224,2020-05-14 16:32:46.642898,Meet - Capacity Overview Review session - Google Chrome,20
225,2020-05-14 16:33:06.657660,meet.google.com is sharing your screen.,2
226,2020-05-14 16:33:08.672604,Meet - Capacity Overview Review session - Google Chrome,1
227,2020-05-14 16:33:09.689188,,3
228,2020-05-14 16:33:12.703583,HM3H - Capcity - Excel,3
229,2020-05-14 16:33:15.712865,New notification,1
230,2020-05-14 16:33:16.730366,HM3H - Capcity - Excel,56
231,2020-05-14 16:34:12.804484,Meet - Capacity Overview Review session - Google Chrome,8
232,2020-05-14 16:34:20.818446,,1
233,2020-05-14 16:34:21.837751,Re: Assembly Capacity - Frame and Engine for HM5V Line 1 & Line 2 - manish2.singh@heromotocorp.com - Hero MotoCorp Ltd. Mail - Google Chrome,4
234,2020-05-14 16:34:25.905072,"Inbox (3,748) - manish2.singh@heromotocorp.com - Hero MotoCorp Ltd. Mail - Google Chrome",4
235,2020-05-14 16:34:29.914110,ABS_EOL Testing_HM2G-HM3H - manish2.singh@heromotocorp.com - Hero MotoCorp Ltd. Mail - Google Chrome,10
236,2020-05-14 16:34:39.949932,Meet - Capacity Overview Review session - Google Chrome,29
237,2020-05-14 16:35:08.975773,ABS_EOL Testing_HM2G-HM3H - manish2.singh@heromotocorp.com - Hero MotoCorp Ltd. Mail - Google Chrome,2
238,2020-05-14 16:35:10.990167,Meet - Capacity Overview Review session - Google Chrome,77
239,2020-05-14 16:36:28.036590,,2
240,2020-05-14 16:36:30.045371,TICA - PowerPoint,22
241,2020-05-14 16:36:52.069307,,4
242,2020-05-14 16:36:56.077063,HM3H - Capcity - Excel,80
243,2020-05-14 16:38:16.126033,Meet - Capacity Overview Review session - Google Chrome,5
244,2020-05-14 16:38:21.133086,,1
245,2020-05-14 16:38:22.138798,HM3H - Capcity - Excel,132
246,2020-05-14 16:40:34.229345,,1
247,2020-05-14 16:40:35.242698,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,31
248,2020-05-14 16:41:06.294956,,2
249,2020-05-14 16:41:08.300943,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,3
250,2020-05-14 16:41:11.310988,,2
251,2020-05-14 16:41:13.328656,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,1
252,2020-05-14 16:41:14.335927,Meet - Capacity Overview Review session - Google Chrome,3
253,2020-05-14 16:41:17.348508,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,21
254,2020-05-14 16:41:38.367769,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel (Not Responding),7
255,2020-05-14 16:41:45.378379,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,18
256,2020-05-14 16:42:03.394584,,2
257,2020-05-14 16:42:05.401486,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,19
258,2020-05-14 16:42:24.421302,,2
259,2020-05-14 16:42:26.428161,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,18
260,2020-05-14 16:42:44.442340,,1
261,2020-05-14 16:42:45.448979,ABZA Packahing Working June-July R7 - Excel,14
262,2020-05-14 16:42:59.467349,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,25
263,2020-05-14 16:43:24.495210,,1
264,2020-05-14 16:43:25.502146,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,123
265,2020-05-14 16:45:28.664228,,1
266,2020-05-14 16:45:29.673087,Meet - Capacity Overview Review session - Google Chrome,16
267,2020-05-14 16:45:45.723730,,6
268,2020-05-14 16:45:51.749512,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,3
269,2020-05-14 16:45:54.765404,Meet - Capacity Overview Review session - Google Chrome,35
270,2020-05-14 16:46:29.858301,,4
271,2020-05-14 16:46:33.874414,HM3H - Capcity - Excel,9
272,2020-05-14 16:46:42.913155,,3
273,2020-05-14 16:46:45.925625,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,2
274,2020-05-14 16:46:47.939369,,2
275,2020-05-14 16:46:49.951392,File Explorer,18
276,2020-05-14 16:47:07.994732,Meet - Capacity Overview Review session - Google Chrome,2
277,2020-05-14 16:47:10.011295,ABS_EOL Testing_HM2G-HM3H - manish2.singh@heromotocorp.com - Hero MotoCorp Ltd. Mail - Google Chrome,11
278,2020-05-14 16:47:21.064884,Search results - manish2.singh@heromotocorp.com - Hero MotoCorp Ltd. Mail - Google Chrome,6
279,2020-05-14 16:47:27.081370,Cortana,16
280,2020-05-14 16:47:43.131811,GB MONTHWISE PLAN_FY20 (1) - Excel,13
281,2020-05-14 16:47:56.169728,Cortana,14
282,2020-05-14 16:48:10.211577,GB MONTHWISE PLAN_FY20 - Excel,61
283,2020-05-14 16:49:11.342057,Search results - manish2.singh@heromotocorp.com - Hero MotoCorp Ltd. Mail - Google Chrome,5
284,2020-05-14 16:49:16.385773,,5
285,2020-05-14 16:49:21.404691,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,7
286,2020-05-14 16:49:28.426669,,2
287,2020-05-14 16:49:30.439198,ABZA Packahing Working June-July R7 - Excel,6
288,2020-05-14 16:49:36.467115,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,95
289,2020-05-14 16:51:11.695101,,3
290,2020-05-14 16:51:14.712584,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,73
291,2020-05-14 16:52:27.862473,,2
292,2020-05-14 16:52:29.878263,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,1
293,2020-05-14 16:52:30.886756,Search results - manish2.singh@heromotocorp.com - Hero MotoCorp Ltd. Mail - Google Chrome,4
294,2020-05-14 16:52:34.917507,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,15
295,2020-05-14 16:52:49.954748,,5
296,2020-05-14 16:52:54.978823,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,75
297,2020-05-14 16:54:10.147475,Microsoft Excel,2
298,2020-05-14 16:54:12.166757,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,9
299,2020-05-14 16:54:21.196168,,3
300,2020-05-14 16:54:24.209580,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,12
301,2020-05-14 16:54:36.241500,,2
302,2020-05-14 16:54:38.252887,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,41
303,2020-05-14 16:55:19.346093,Paste Name,3
304,2020-05-14 16:55:22.366576,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,66
305,2020-05-14 16:56:28.519480,,2
306,2020-05-14 16:56:30.534460,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,3
307,2020-05-14 16:56:33.562186,,2
308,2020-05-14 16:56:35.574544,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,10
309,2020-05-14 16:56:45.609857,,1
310,2020-05-14 16:56:46.624683,Search results - manish2.singh@heromotocorp.com - Hero MotoCorp Ltd. Mail - Google Chrome,2
311,2020-05-14 16:56:48.642608,"Inbox (3,747) - manish2.singh@heromotocorp.com - Hero MotoCorp Ltd. Mail - Google Chrome",5
312,2020-05-14 16:56:53.665917,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,115
313,2020-05-14 16:58:48.923966,New notification,2
314,2020-05-14 16:58:50.940303,(3) WhatsApp - Google Chrome,14
315,2020-05-14 16:59:04.993826,Meet - Capacity Overview Review session - Google Chrome,2
316,2020-05-14 16:59:07.012104,(3) WhatsApp - Google Chrome,1
317,2020-05-14 16:59:08.026739,,2
318,2020-05-14 16:59:10.043771,ABZA Packahing Working June-July R7 - Excel,1
319,2020-05-14 16:59:11.062755,,1
320,2020-05-14 16:59:12.082370,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,39
321,2020-05-14 16:59:51.178648,,1
322,2020-05-14 16:59:52.192730,(2) WhatsApp - Google Chrome,1
323,2020-05-14 16:59:53.212118,,36
324,2020-05-14 17:00:29.301967,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,31
325,2020-05-14 17:01:00.371164,,3
326,2020-05-14 17:01:03.385806,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,16
327,2020-05-14 17:01:19.433953,,2
